Quarter,LogGDP,Employment,LogCPI,InterestRate,LogEnergyDemand
1983Q4,890.10795438456307,91.469999999999999,461.61101260264257,9.9100000000000001,981.7471871494904
1984Q1,892.04386378971958,92.129999999999995,463.01876238657974,11.06,987.13503947809488
1984Q2,893.75689807401523,92.569999999999993,463.95716127054231,11.300000000000001,987.75871215266682
1984Q3,894.71634473898882,92.569999999999993,464.82296754485384,8.3800000000000008,985.45142191672426
1984Q4,895.53385679594339,92.700000000000003,465.68134191399292,8.5800000000000001,983.2616622350439
1985Q1,896.49827807459985,92.769999999999996,466.59519719241871,7.5300000000000002,985.89010708001649
1985Q2,897.37488000173278,92.700000000000003,467.50068347282064,7.9199999999999999,985.03963138676284
1985Q3,898.89046115566066,92.799999999999997,468.12048722640884,8.2699999999999996,985.00533032023975
1985Q4,899.63100438124923,92.969999999999999,469.13478822291432,7.4800000000000004,986.32761507328598
1986Q1,900.5601780499411,92.969999999999999,469.65334962307975,6.9199999999999999,985.98418527139552
1986Q2,901.00955080571316,92.829999999999998,469.16533401592756,5.8899999999999997,986.25861178814228
1986Q3,901.96203263990515,93.030000000000001,469.77493672811852,6.9100000000000001,985.76711986065925
1986Q4,902.49767126769689,93.170000000000002,470.4714118074458,6.1299999999999999,985.75060178467254
1987Q1,903.24008002466383,93.400000000000006,471.67115607209985,6.7300000000000004,987.16441101205635
1987Q2,904.31319935921715,93.730000000000004,472.79779100609159,7.2199999999999998,989.31564798049681
1987Q3,905.17706927371933,94,473.85351897707579,6.7699999999999996,990.05242232095588
1987Q4,906.87954710747022,94.170000000000002,474.78261973722311,6.5800000000000001,989.75815061285869
1988Q1,907.39484347494749,94.299999999999997,475.55993782339885,7.5099999999999998,994.15763411698799
1988Q2,908.70015439473161,94.530000000000001,476.70058321009333,8.1899999999999995,992.27665373633602
1988Q3,909.28437328044106,94.530000000000001,477.91234931115298,8.7599999999999998,993.8584601986156
1988Q4,910.60806946179173,94.670000000000002,478.99886229806333,9.8499999999999996,993.69955072793653
1989Q1,911.61953930615596,94.799999999999997,480.12853388869468,9.5299999999999994,994.72316466817608
1989Q2,912.3799102650446,94.769999999999996,481.73199262129475,9.0199999999999996,995.53848816079926
1989Q3,913.11805994007091,94.769999999999996,482.51086063533523,8.4499999999999993,994.98293127617433
