model,mean_loss,pvalue,in_set
EstimationSeriesSample1_74_qvarma_p1q1r4,0.15491291168273966,0,0
EstimationSeriesSample1_75_qvarma_p1q1r4,0.14641537514302683,0,0
EstimationSeriesSample1_76_qvarma_p1q1r4,0.16353998057546254,0,0
EstimationSeriesSample1_77_qvarma_p1q1r4,0.16283313242222447,0,0
EstimationSeriesSample1_78_qvarma_p1q1r4,0.15504956789973334,0,0
EstimationSeriesSample1_79_qvarma_p1q1r4,0.15760504787458474,0,0
EstimationSeriesSample1_80_qvarma_p1q1r4,0.15764906427662181,0,0
EstimationSeriesSample1_81_qvarma_p1q1r4,0.15613412583362238,0,0
EstimationSeriesSample1_82_qvarma_p1q1r4,0.15550785008365889,0,0
EstimationSeriesSample1_83_qvarma_p1q1r4,0.15411951657917533,0,0
EstimationSeriesSample1_84_qvarma_p1q1r4,0.15286927308951734,0,0
EstimationSeriesSample1_85_qvarma_p1q1r4,0.16278814630756949,0,0
EstimationSeriesSample1_86_qvarma_p1q1r4,0.15980994354282185,0,0
EstimationSeriesSample1_87_qvarma_p1q1r4,0.16075218187225748,0,0
EstimationSeriesSample1_88_qvarma_p1q1r4,0.15839827469313048,0,0
EstimationSeriesSample1_89_qvarma_p1q1r4,0.16088012869250876,0,0
EstimationSeriesSample1_90_qvarma_p1q1r4,0.15624646810886064,0,0
EstimationSeriesSample1_91_qvarma_p1q1r4,0.13913308326071541,0,0
EstimationSeriesSample1_92_qvarma_p1q1r4,0.17038264245704338,0,0
EstimationSeriesSample1_93_qvarma_p1q1r4,0.15987608079967106,0,0
EstimationSeriesSample1_94_qvarma_p1q1r4,0.15734065311745593,0,0
EstimationSeriesSample1_95_qvarma_p1q1r4,0.16009713298104014,0,0
EstimationSeriesSample1_96_qvarma_p1q1r4,0.16314452454402575,0,0
EstimationSeriesSample1_97_qvarma_p1q1r4,0.15582745512525428,0,0
EstimationSeriesSample1_98_qvarma_p1q1r4,0.15173062462762069,0,0
EstimationSeriesSample1_99_qvarma_p1q1r4,0.15736213498827065,0,0
EstimationSeriesSample1_100_qvarma_p1q1r4,0.16069663059250527,0,0
