configuration,replicate,nu,loss
cop_0191,47,1419.114866,0.1225522715
cop_0191,48,6847996.719,0.1180834847
cop_0191,49,781730.065,0.116654139
cop_0191,50,1227.328068,0.1172063251
cop_0191,51,663.1937457,0.1183541914
cop_0191,52,1098.378271,0.1163887959
cop_0191,53,967.9811485,0.1185560362
cop_0191,54,38073.4592,0.1211918791
cop_0191,55,862.4049449,0.1184938608
cop_0191,56,5748.374367,0.1196227588
cop_0191,57,526.094478,0.1179237886
cop_0191,58,5280.259894,0.1160674451
cop_0191,59,24589.29911,0.117543435
cop_0191,60,249.6976654,0.1195346734
cop_0191,61,3660.047147,0.1206535707
cop_0191,62,2787.429746,0.1197321072
cop_0191,63,117.6834895,0.1218076101
cop_0191,64,2146.923728,0.1162820224
cop_0191,65,2784.70121,0.1162023495
cop_0191,66,4977.757319,0.1196577175
cop_0191,67,8686.177366,0.115370121
cop_0191,68,1117519.278,0.118194844
cop_0191,69,1193.899303,0.1247938686
cop_0191,70,1012.655995,0.1150774409
cop_0191,71,86569.74321,0.1209487051
cop_0191,72,866.1434369,0.1157738832
cop_0191,73,291.5804354,0.1174919587
cop_0191,74,297.677432,0.1134871351
cop_0191,75,665.600027,0.1159317825
cop_0191,76,518.7425364,0.1175811514
cop_0191,77,1358.66557,0.1160781103
cop_0191,78,1616644.372,0.1199399473
cop_0191,79,2107.475039,0.11968436
cop_0191,80,945.5009682,0.1173863168
cop_0191,81,600393.6377,0.1182806553
cop_0191,82,1721.117011,0.116387593
cop_0191,83,490.5756807,0.1172229994
cop_0191,84,2881.107851,0.1174006818
cop_0191,85,6088.200259,0.1217443785
cop_0191,86,3810.9103,0.1165073036
cop_0191,87,1098.474699,0.1144021882
cop_0191,88,3035.878515,0.118323665
cop_0191,89,1534.404314,0.1190046699
cop_0191,90,1342.186134,0.1161314017
cop_0191,91,617.4010197,0.1155065068
cop_0191,92,218960.6285,0.117267898
cop_0191,93,9126.437695,0.1181343146
cop_0191,94,295389.0976,0.116972881
cop_0191,95,2160.193066,0.1206457912
cop_0191,96,1276.976176,0.1152433399
cop_0191,97,383.7420482,0.1209016235
cop_0191,98,1412.077986,0.1189314412
cop_0191,99,2074.463904,0.1176839176
cop_0191,100,934.4543079,0.1156355091
cop_0191,101,191495.0757,0.1210292734
cop_0191,102,116429.4021,0.1207758425
cop_0191,103,2472.098124,0.120531174
cop_0191,104,171.4030162,0.117266717
cop_0191,105,673.6854527,0.1176320971
cop_0191,106,757.6364808,0.1174201122
cop_0191,107,1415.232253,0.1238261875
cop_0191,108,1248.017799,0.1170672976
cop_0191,109,2698.355591,0.1206442482
cop_0191,110,54.55741181,0.1237780355
cop_0191,111,4380.171691,0.1198310329
cop_0191,112,540.1896475,0.1169186509
cop_0191,113,1692.03132,0.1173470293
cop_0191,114,370.3705941,0.1185660239
cop_0191,115,1290.049999,0.1176844878
cop_0191,116,1565105.608,0.1182566759
cop_0191,117,11410.98428,0.1201185696
cop_0191,118,2700.3689,0.1191141783
cop_0191,119,772.759414,0.1166877096
cop_0191,120,1196.948814,0.1188555464
cop_0191,121,629.6885481,0.1213624752
cop_0191,122,649.3443758,0.121202882
cop_0191,123,2253.698559,0.1168644757
cop_0191,124,6566.854443,0.1196596108
cop_0191,125,580.756987,0.1190285827
cop_0191,126,1446.53121,0.1183006084
cop_0191,127,670.9935809,0.1147488323
cop_0191,128,5816.579473,0.1178783883
cop_0191,129,536.6996258,0.1180569002
cop_0191,130,1224.671403,0.1158991028
cop_0191,131,2772.964464,0.1165730827
cop_0191,132,1508.704181,0.1175177088
cop_0191,133,658106.2153,0.1189232511
cop_0191,134,838.2365323,0.1201774703
cop_0191,135,1939.415221,0.1174136651
cop_0191,136,1614.06061,0.1160353808
cop_0191,137,4286.647366,0.116014601
cop_0191,138,67503.954,0.1177711536
cop_0191,139,929.4437078,0.1214832286
cop_0191,140,1642.518497,0.1173776855
cop_0191,141,100.0434649,0.1142196682
cop_0191,142,583708.2712,0.1194759968
cop_0191,143,1085.88524,0.1162498432
cop_0191,144,1413.577217,0.1159797724
cop_0191,145,320.3456552,0.1182452144
cop_0191,146,2007.588555,0.1198332469
cop_0191,147,7623.253599,0.1153571537
cop_0191,148,274.5992215,0.1172985145
cop_0191,149,938.8897032,0.1181981125
cop_0191,150,2779.287646,0.1185625172
cop_0191,151,1815.680574,0.1176114747
cop_0191,152,2566.867644,0.1180516238
cop_0191,153,280842.3271,0.1213872589
cop_0191,154,1132.291279,0.1172117562
cop_0191,155,2395.767316,0.1218400054
cop_0191,156,1507.438091,0.115708789
cop_0191,157,10227.94671,0.1188959487
cop_0191,158,444.0811486,0.1162736831
cop_0191,159,5568.898375,0.1181470035
cop_0191,160,1378.397238,0.1191837932
cop_0191,161,183.0870928,0.1140917917
cop_0191,162,888.6470834,0.1168310759
cop_0191,163,8968.74321,0.1195739769
cop_0191,164,6361.948412,0.1226019852
cop_0191,165,4169.623132,0.1192051552
cop_0191,166,6258.796375,0.117535854
cop_0191,167,546660.215,0.1156691147
cop_0191,168,680.4417226,0.1173622377
cop_0191,169,274.7942612,0.1184012686
cop_0191,170,10018.90812,0.1194203394
cop_0191,171,12418.66455,0.1195280153
cop_0191,172,1209.126977,0.1179018249
cop_0191,173,334.4632862,0.1176093779
cop_0191,174,405.4419418,0.1175619812
cop_0191,175,1024.737721,0.1206596066
cop_0191,176,435461.996,0.1161800276
cop_0191,177,934.8715627,0.1193782271
cop_0191,178,10464118.09,0.1179535209
cop_0191,179,2475.803126,0.1171109582
cop_0191,180,3804.351739,0.1163960808
cop_0191,181,15502.01922,0.1179440304
cop_0191,182,6708.789191,0.1200674975
cop_0191,183,332.0027975,0.1183693561
cop_0191,184,2175.668395,0.1166632772
cop_0191,185,16203.96455,0.1198739256
cop_0191,186,16371.59252,0.1214240577
cop_0191,187,266.5304241,0.115727574
cop_0191,188,3494.491602,0.1158547053
cop_0191,189,1039.544439,0.1158612253
cop_0191,190,2095.511401,0.1196312228
cop_0191,191,6083.726665,0.1193682112
cop_0191,192,267.6110098,0.1215119096
cop_0191,193,1403.358665,0.1161071493
cop_0191,194,1182.128556,0.120061716
cop_0191,195,2472.72374,0.117294149
cop_0191,196,947.1173006,0.1172362006
cop_0191,197,2926.431142,0.1212646714
cop_0191,198,4852.075012,0.1168520207
cop_0191,199,38707.12498,0.1170542667
cop_0191,200,493.731118,0.1175150004
cop_0191,201,173.8707745,0.1158032006
cop_0191,202,476.3920994,0.1171188853
cop_0191,203,42178.54037,0.1164697434
cop_0191,204,259.6601567,0.1132897314
cop_0191,205,1585.254893,0.1154808173
cop_0191,206,29559.34978,0.1165560535
cop_0191,207,11496.15363,0.1195477909
cop_0191,208,23552.16706,0.1190563675
cop_0191,209,395371.5613,0.119216002
cop_0191,210,247.1714828,0.1152621141
cop_0191,211,1224.725448,0.1205356328
cop_0191,212,4129.616568,0.1186572853
cop_0191,213,31521.83132,0.1194955635
cop_0191,214,429.0433018,0.1168058575
cop_0191,215,121162.5465,0.1244560003
cop_0191,216,144.77955,0.1146379112
cop_0191,217,419634.8242,0.1167406625
cop_0191,218,485.7237005,0.1217295614
cop_0191,219,3072.910554,0.1199218829
cop_0191,220,315.074701,0.1169501042
cop_0191,221,17260.46425,0.1181461149
cop_0191,222,17038.73671,0.1215445478
cop_0191,223,684.4741246,0.1171465388
cop_0191,224,5188.14333,0.118909486
cop_0191,225,475.1977843,0.120746883
cop_0191,226,1768.302006,0.1189435675
cop_0191,227,2096.208274,0.1173717501
cop_0191,228,18444.32463,0.1222632353
cop_0191,229,1091.612842,0.118018616
cop_0191,230,673.8659182,0.1175975925
cop_0191,231,829.9718269,0.1187672872
cop_0191,232,1997.835006,0.1206630443
cop_0191,233,4188.695735,0.1193417492
cop_0191,234,1354.514208,0.1167715051
cop_0191,235,673140.5059,0.1183282654
cop_0191,236,4840.920663,0.1180639518
cop_0191,237,681.3554115,0.1147735674
cop_0191,238,795.5914794,0.1217600723
cop_0191,239,1507.836583,0.1215868147
cop_0191,240,476.7506557,0.1189506731
cop_0191,241,1121.817929,0.1173905886
cop_0191,242,2080.842825,0.1192160033
cop_0191,243,1106.186176,0.1153064143
cop_0191,244,2156.20854,0.1187096329
cop_0191,245,3371.519729,0.1190009918
cop_0191,246,1544.939888,0.1159503582
cop_0191,247,2270.845612,0.1166760329
cop_0191,248,1111.416493,0.1164203849
cop_0191,249,479.6478958,0.1141907685
cop_0191,250,1156.558281,0.1155757803
cop_0191,251,3352.809196,0.120442719
cop_0191,252,2281477.815,0.1217898099
cop_0191,253,1073.750491,0.1182584359
cop_0191,254,480118.7364,0.121289109
cop_0191,255,688.8672991,0.1152296729
cop_0191,256,2242.287319,0.1187001955
cop_0191,257,240095.5795,0.1188010516
cop_0191,258,5424.938916,0.1174852753
cop_0191,259,575.1712161,0.1162831008
cop_0191,260,334.5889483,0.1149234856
cop_0191,261,2131.65193,0.121278458
cop_0191,262,948.3395516,0.1173747401
cop_0191,263,736.6915262,0.1204772795
cop_0191,264,834.243889,0.1191094186
cop_0191,265,1253.33166,0.1178186476
cop_0191,266,697.889922,0.1196540977
cop_0191,267,89432.51648,0.1183709964
cop_0191,268,1611.746567,0.1161375868
cop_0191,269,1806.709298,0.1228727112
cop_0191,270,2093.259118,0.1210925355
cop_0191,271,1331.720971,0.1215617724
cop_0191,272,592.4615849,0.1186706571
cop_0191,273,1085.104838,0.1190262509
cop_0191,274,657.041321,0.1192945969
cop_0191,275,1351889.266,0.1169142495
cop_0191,276,26.29203434,0.1216963784
cop_0191,277,743.3595173,0.1161419323
cop_0191,278,29.69766641,0.1191312175
cop_0191,279,1156928.934,0.1209202619
cop_0191,280,4798.257262,0.1164357322
cop_0191,281,1489.082244,0.1195048596
cop_0191,282,218127.7855,0.1169565536
cop_0191,283,1169.084292,0.1187557477
cop_0191,284,848.4156573,0.1132229012
cop_0191,285,4196.083123,0.1180165443
cop_0191,286,7700.778183,0.1237228169
cop_0191,287,324239.1566,0.1190422965
cop_0191,288,206802.7175,0.1166873302
cop_0191,289,4755.884285,0.1202245562
cop_0191,290,38920.09395,0.1189154296
cop_0191,291,2591.778696,0.1182817176
cop_0191,292,483.9846979,0.1156388757
cop_0191,293,2492.309671,0.1173902055
cop_0191,294,14267.36221,0.1152014541
cop_0191,295,1013.76128,0.1149707137
cop_0191,296,4951.983064,0.121837016
cop_0191,297,18168.21315,0.1183398998
cop_0191,298,182.4483209,0.1149512793
cop_0191,299,159264.6754,0.1182942729
cop_0191,300,415.572996,0.1167604645
cop_0191,301,10495.20497,0.1179129712
cop_0191,302,1429.235671,0.1170408756
cop_0191,303,110400.9938,0.1180959619
cop_0191,304,425.7993349,0.113165434
cop_0191,305,1618.122668,0.1154163109
cop_0191,306,635.7572996,0.1176814719
cop_0191,307,248374.9394,0.115816789
cop_0191,308,1285.327971,0.1170448663
cop_0191,309,736.9871809,0.1183148946
cop_0191,310,247.5563375,0.1175640349
cop_0191,311,2905.643666,0.1210646653
cop_0191,312,1429.880669,0.1182241823
cop_0191,313,11853.49703,0.1178403726
cop_0191,314,2966.841539,0.1171738772
cop_0191,315,793.0234124,0.1174051657
cop_0191,316,538.3907228,0.1200225747
cop_0191,317,346.7834944,0.1212797954
cop_0191,318,1113.153405,0.1183078944
cop_0191,319,1054.996122,0.1180709915
cop_0191,320,556.1290485,0.1168104997
cop_0191,321,645.2625447,0.1181743767
cop_0191,322,1114.479247,0.1183594036
cop_0191,323,1713.124161,0.1157378823
cop_0191,324,2191.901125,0.1186313146
cop_0191,325,1718.622643,0.1171119035
cop_0191,326,8658.57393,0.1184522363
cop_0191,327,15574.56511,0.1171770367
cop_0191,328,3481.554039,0.1189319013
cop_0191,329,17567.67456,0.1187518245
cop_0191,330,126.6096508,0.1181339298
cop_0191,331,871.1852061,0.1213246209
cop_0191,332,207.433557,0.1183253376
cop_0191,333,620.827252,0.1186516228
cop_0191,334,5972.078649,0.1161811611
cop_0191,335,973.12516,0.1143210297
cop_0191,336,1673.834308,0.1248244254
cop_0191,337,1083.33205,0.1184052048
cop_0191,338,34446.64615,0.1154802097
cop_0191,339,3877.926227,0.1144829586
cop_0191,340,7509.340172,0.120195337
cop_0191,341,173.9725351,0.1086514704
cop_0191,342,4859.248206,0.1201709667
cop_0191,343,1676.55139,0.1180623074
cop_0191,344,2209.102773,0.115672898
cop_0191,345,19546.69153,0.1190029677
cop_0191,346,2536.528008,0.1205612675
cop_0191,347,1429.351176,0.1170556195
cop_0191,348,3664.030383,0.118418606
cop_0191,349,7905.368323,0.1163966761
cop_0191,350,683.968371,0.1178837538
cop_0191,351,49734.6013,0.1181571054
cop_0191,352,300.5155179,0.1145348629
cop_0191,353,626.3041996,0.1161237455
cop_0191,354,715.9407352,0.1179028171
cop_0191,355,533.1825786,0.117650458
cop_0191,356,389.8501343,0.115215392
cop_0191,357,3075.48126,0.1191415572
cop_0191,358,4363.032121,0.1195150691
cop_0191,359,603.5923795,0.1176799062
cop_0191,360,843.3037914,0.1203885839
cop_0191,361,322.1088848,0.1137082842
cop_0191,362,936.6998076,0.1145647635
cop_0191,363,6144.180663,0.1163049545
cop_0191,364,1766.668879,0.1170425619
cop_0191,365,2272.428466,0.1160021887
cop_0191,366,1282.86219,0.1201832948
cop_0191,367,150.1540525,0.122269774
cop_0191,368,219657.5685,0.1216884649
cop_0191,369,147.221073,0.1170557593
cop_0191,370,900.1024483,0.1166739334
cop_0191,371,37222.51936,0.1176793508
cop_0191,372,1089.206712,0.1208161668
cop_0191,373,1880.329698,0.1173753924
cop_0191,374,909.8750216,0.1232090852
cop_0191,375,4741.430777,0.1164091062
cop_0191,376,665.4817866,0.1202752475
cop_0191,377,3189.075289,0.1228383543
cop_0191,378,4233.868994,0.1177215253
cop_0191,379,1771.474019,0.1187011152
cop_0191,380,1932.369153,0.1196581437
cop_0191,381,520.9945493,0.1194254637
cop_0191,382,449.111965,0.1181239699
cop_0191,383,5336.755467,0.1158992439
cop_0191,384,1185.975131,0.120159179
cop_0191,385,55.47611254,0.1162022107
cop_0191,386,2187.137357,0.1138437739
cop_0191,387,1633.527511,0.1175179489
cop_0191,388,10808.79825,0.1173471723
cop_0191,389,2891.671987,0.1215752682
cop_0191,390,543.8980924,0.1194014136
cop_0191,391,2218.467603,0.1219479812
cop_0191,392,631107.7049,0.1169919025
cop_0191,393,1701.62817,0.1167411467
cop_0191,394,5519.921348,0.1168015588
cop_0191,395,945.15607,0.1184602663
cop_0191,396,5463.767662,0.1175828316
cop_0191,397,4084.984744,0.1142452285
cop_0191,398,1203.624638,0.1189349503
cop_0191,399,345091.513,0.1176235344
cop_0191,400,9149.689853,0.1217505883
cop_0191,401,3518.272829,0.1196625064
cop_0191,402,2202.531779,0.1198387894
cop_0191,403,1545.971258,0.1175369884
cop_0191,404,671.4649556,0.1199069049
cop_0191,405,1787.341019,0.119051539
cop_0191,406,10613.96492,0.1197250632
cop_0191,407,48517.35228,0.1194209973
cop_0191,408,240.1141292,0.1165122534
cop_0191,409,2155.956052,0.1198777374
cop_0191,410,1508.723315,0.1163909264
cop_0191,411,652.5018639,0.1166112036
cop_0191,412,823.1513734,0.121634922
cop_0191,413,1703.993078,0.1159538287
cop_0191,414,735.0880717,0.1220647903
cop_0191,415,710.8752287,0.1143787771
cop_0191,416,165284.1025,0.1190242356
cop_0191,417,7979.670881,0.118710283
cop_0191,418,1869.823631,0.1179552925
cop_0191,419,104.5030047,0.1157094445
cop_0191,420,647.4757976,0.1161090785
cop_0191,421,3378.348418,0.1199350363
cop_0191,422,1408431.705,0.1162166399
cop_0191,423,2137.287277,0.1208249581
cop_0191,424,3587.991463,0.1173770124
cop_0191,425,1333.780606,0.1177478988
cop_0191,426,95802.48403,0.1206975906
cop_0191,427,393.7615955,0.1239162559
cop_0191,428,1866.293768,0.1166392678
cop_0191,429,2293.889913,0.1200923105
cop_0191,430,167361.2671,0.120643609
cop_0191,431,13595.95983,0.1171530483
cop_0191,432,2800433.199,0.1182475045
cop_0191,433,204789.3999,0.1177439836
cop_0191,434,513252.7732,0.1188366563
cop_0191,435,1850.375401,0.1150648702
cop_0191,436,27657.42957,0.1199863485
cop_0191,437,314.7289127,0.1168926179
cop_0191,438,325.9531332,0.1212730696
cop_0191,439,346813.4124,0.1172637077
cop_0191,440,1.594167337e+12,0.12165689
cop_0191,441,480.8278521,0.1151665662
cop_0191,442,479.2489326,0.1163174113
cop_0191,443,1611.262843,0.1163983243
cop_0191,444,2624.602503,0.1180299654
cop_0191,445,518.7067107,0.1154495371
cop_0191,446,896.2389954,0.1187935908
cop_0191,447,1414.713985,0.1177049783
cop_0191,448,967.9451105,0.1173899681
cop_0191,449,2064.963377,0.1171806102
cop_0191,450,912.1398897,0.1170520644
cop_0191,451,170.7103871,0.1175079953
cop_0191,452,340.1499277,0.1165631353
cop_0191,453,1901.971415,0.1158875741
cop_0191,454,2098.78664,0.1167702994
cop_0191,455,1230.338446,0.1164137105
cop_0191,456,5481.522077,0.12465486
cop_0191,457,2610.332008,0.120803227
cop_0191,458,245.5700958,0.1169818063
cop_0191,459,1444.686496,0.1168862906
cop_0191,460,3524.473949,0.1224401938
cop_0191,461,2153.916463,0.1194197695
cop_0191,462,137901.8993,0.1154348301
cop_0191,463,1801.411518,0.1191035818
cop_0191,464,61.82398627,0.1205878796
cop_0191,465,651.7483701,0.1201621295
cop_0191,466,9436.093851,0.1172068225
cop_0191,467,2110.902558,0.1169695497
cop_0191,468,531.5811345,0.1165551141
cop_0191,469,848.1068499,0.1164446069
cop_0191,470,326.8920083,0.1162544319
cop_0191,471,3477.514218,0.1187348418
cop_0191,472,8052.551141,0.1197987749
cop_0191,473,403.9017649,0.1152033877
cop_0191,474,9522.298988,0.117384127
cop_0191,475,1573.075228,0.1221694006
cop_0191,476,1289.847134,0.1159950121
cop_0191,477,2243.488576,0.1180930169
cop_0191,478,2924.098094,0.1166749971
cop_0191,479,1642.170524,0.116225174
cop_0191,480,2818.617065,0.1205073621
cop_0191,481,1143.419012,0.1160318849
cop_0191,482,3054.43144,0.1150975581
cop_0191,483,2303.929813,0.1171005412
cop_0191,484,2897.047248,0.1175232889
cop_0191,485,2841.02728,0.1197669327
cop_0191,486,759.6265943,0.1199672607
cop_0191,487,8762.791915,0.1177449739
cop_0191,488,832.7931316,0.118953616
cop_0191,489,2582.196463,0.1210063616
cop_0191,490,939.0827641,0.1196236258
cop_0191,491,4115.282251,0.1185377174
cop_0191,492,539.7984943,0.114620136
cop_0191,493,1019.923177,0.1176768318
cop_0191,494,377605.6626,0.116775372
cop_0191,495,2311.586081,0.1222154657
cop_0191,496,196110.5026,0.1221653898
cop_0191,497,5512.544624,0.1177917973
cop_0191,498,20690.70712,0.1180166436
cop_0191,499,14743.80525,0.1191980597
cop_0191,500,8141.72833,0.1193671156
cop_0191,501,300.801461,0.1172974385
cop_0191,502,679.0282495,0.1202794364
cop_0191,503,10019.07752,0.1191101021
cop_0191,504,119.9623732,0.1130532469
cop_0191,505,1362.778703,0.1220025211
cop_0191,506,481.9277858,0.117384936
cop_0191,507,72383.76337,0.1211798532
cop_0191,508,785.3197606,0.1170500136
cop_0191,509,1496.681972,0.1174939163
cop_0191,510,1927.303025,0.1202968908
cop_0191,511,2575.658956,0.1142706624
cop_0191,512,3822.472177,0.1185797515
cop_0191,513,398767.0089,0.1150878863
cop_0191,514,8587.167901,0.1189904881
cop_0191,515,2013.071449,0.1195357241
cop_0191,516,324.5724901,0.1160656211
cop_0191,517,1003.656467,0.1193535755
cop_0191,518,6169.976898,0.1173015526
cop_0191,519,4090.001213,0.1179808031
cop_0191,520,5413.161382,0.1184607265
cop_0191,521,3964.182218,0.1155698787
cop_0191,522,219.7137765,0.1194798043
cop_0191,523,527.8084468,0.1176901711
cop_0191,524,342.038378,0.1166038143
cop_0191,525,449.2573692,0.1161409994
cop_0191,526,3593.516441,0.1195910105
cop_0191,527,144.4074767,0.1121345136
cop_0191,528,36730.00659,0.1183278601
cop_0191,529,4433.680032,0.1179196227
cop_0191,530,1142.708224,0.1177148565
cop_0191,531,1276.872184,0.1141506617
cop_0191,532,2022.913809,0.1190023612
cop_0191,533,3131.910183,0.1182543946
cop_0191,534,30328.13077,0.1194568673
cop_0191,535,4043.146686,0.1189738339
cop_0191,536,919.0187299,0.1164187623
cop_0191,537,223.3584438,0.1169792195
cop_0191,538,1171107.542,0.1211249371
cop_0191,539,19095.21763,0.1192372768
cop_0191,540,259.6311838,0.116916511
cop_0191,541,3143.123419,0.1205163673
cop_0191,542,2273.940043,0.1161181917
cop_0191,543,2930.965974,0.1214960001
cop_0191,544,2863.626696,0.1179327162
cop_0191,545,5495.219894,0.1190780785
cop_0191,546,259.4017548,0.1161957685
cop_0191,547,2066.367426,0.1154286348
cop_0191,548,289.2557364,0.1170863807
cop_0191,549,2779.343276,0.1160704269
cop_0191,550,364.9797137,0.1185770765
cop_0191,551,2707.394014,0.117754874
cop_0191,552,9381.371182,0.1172976396
cop_0191,553,316.2282508,0.1200670391
cop_0191,554,1179.789604,0.117032406
cop_0191,555,530.6799713,0.1164769267
cop_0191,556,3382.388767,0.1173531725
cop_0191,557,1986.43916,0.1174647002
cop_0191,558,998.3429088,0.1225531946
cop_0191,559,4399.721962,0.1180155337
cop_0191,560,1450.96662,0.1186224769
cop_0191,561,2528.733314,0.1214880368
cop_0191,562,4436424.274,0.1191326857
cop_0191,563,13262.5157,0.1178890224
cop_0191,564,1282.267859,0.1174117286
cop_0191,565,11538.68953,0.1151334612
cop_0191,566,8481.105407,0.1214921361
cop_0191,567,745.6267537,0.1181711383
cop_0191,568,2373.969855,0.1158719405
cop_0191,569,303.8491188,0.1202081072
cop_0191,570,2448.210457,0.1235743301
cop_0191,571,720.0567761,0.1173756307
cop_0191,572,853.4562415,0.1204620641
cop_0191,573,920.6018939,0.1168742409
cop_0191,574,1213.202624,0.1182850894
cop_0191,575,428.1424571,0.1165080226
cop_0191,576,682.8213873,0.1207672324
cop_0191,577,1319.628561,0.1230925855
cop_0191,578,911.4555987,0.121793784
cop_0191,579,3622.882016,0.1177564596
cop_0191,580,575.1875183,0.1188493787
cop_0191,581,1439290.525,0.1177967504
cop_0191,582,348.1331288,0.11488629
cop_0191,583,1312.10945,0.1161715663
cop_0191,584,4217.836213,0.1211277881
cop_0191,585,212.5698588,0.1168290741
cop_0191,586,802.538111,0.1201223744
cop_0191,587,1638.815912,0.1211688036
cop_0191,588,3143.248206,0.1180439543
cop_0191,589,3285.858966,0.1203957425
cop_0191,590,3265.148764,0.1217836298
cop_0191,591,2322.041396,0.1173099733
cop_0191,592,827329.7846,0.1154589948
cop_0191,593,15502.0786,0.1189554535
cop_0191,594,1095.026404,0.1167241279
cop_0191,595,860.4338119,0.1157417663
cop_0191,596,205481.0532,0.1170289401
cop_0191,597,917.0134502,0.1177049703
cop_0191,598,110909.3413,0.1157974602
cop_0191,599,744332.9717,0.1217259414
cop_0191,600,3203.358872,0.1157725919
cop_0191,601,1247.782307,0.1189108906
cop_0191,602,1081.908936,0.1200615421
cop_0191,603,670.6541676,0.1207623111
cop_0191,604,7413.122434,0.1205389893
cop_0191,605,3221.33511,0.1202116207
cop_0191,606,4810.845265,0.1191214845
cop_0191,607,3859.282963,0.1200044261
cop_0191,608,1775.331347,0.1189529274
cop_0191,609,1068.63214,0.1172535664
cop_0191,610,943.4607444,0.1170781716
cop_0191,611,4000.67323,0.1147776264
cop_0191,612,6067.293368,0.1184798025
cop_0191,613,2591.017043,0.1183353559
cop_0191,614,495.0975966,0.1160721517
cop_0191,615,847.5298372,0.1155712516
cop_0191,616,1517.217942,0.1255468762
cop_0191,617,1017.522047,0.1173611134
cop_0191,618,3664.763769,0.1187483504
cop_0191,619,2321.117599,0.1186224974
cop_0191,620,1405.202674,0.1175093771
cop_0191,621,123.950916,0.1122899424
cop_0191,622,6311.34769,0.1185726184
cop_0191,623,1044.67142,0.1187266845
cop_0191,624,9637.367791,0.1173319928
cop_0191,625,343.5680319,0.1194434919
cop_0191,626,8132.109795,0.1200562558
cop_0191,627,757.6190119,0.1172389532
cop_0191,628,1661.680822,0.1192252861
cop_0191,629,3410.811969,0.1193959148
cop_0191,630,1146.420296,0.1190773421
cop_0191,631,1570.137711,0.1152363508
cop_0191,632,746.9669596,0.1174367373
cop_0191,633,738.7615942,0.1230129885
cop_0191,634,410.3850495,0.1167794744
cop_0191,635,19164.76669,0.1194890636
cop_0191,636,2538.012656,0.119814056
cop_0191,637,910.6543872,0.1209108626
cop_0191,638,493747.2976,0.120584204
cop_0191,639,9748.034148,0.1187599077
cop_0191,640,345.1129316,0.1150875682
cop_0191,641,1480.253379,0.1189956378
cop_0191,642,170.4464062,0.1157461873
cop_0191,643,13860.20726,0.1161658875
cop_0191,644,359.7800975,0.1165283995
cop_0191,645,2111.231588,0.1180895898
cop_0191,646,24441.27394,0.1166409717
cop_0191,647,5634.712282,0.1167898269
cop_0191,648,287936.6618,0.121815102
cop_0191,649,545.6483568,0.1200248542
cop_0191,650,366.0298225,0.1135963907
cop_0191,651,463.3119137,0.1175557111
cop_0191,652,1482.360585,0.1177874249
cop_0191,653,26582.68335,0.1155571785
cop_0191,654,1361.25515,0.1161978695
cop_0191,655,1074.901132,0.1170851542
cop_0191,656,2391.212445,0.1180785285
cop_0191,657,694.8899217,0.116816213
cop_0191,658,1757.515047,0.1207567873
cop_0191,659,11125.72466,0.1237448548
cop_0191,660,3993.137209,0.1170930824
cop_0191,661,985.6414703,0.1208520461
cop_0191,662,2675.553233,0.122229982
cop_0191,663,1229.91973,0.1163469374
cop_0191,664,99586.03366,0.1183990486
cop_0191,665,1575.879468,0.1184709932
cop_0191,666,6329.151348,0.1156092682
cop_0191,667,423.7278422,0.120054006
cop_0191,668,3999.760585,0.1152962834
