benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
214,0,973,0.000000,28,yes,0.054700,0
215,0,151,0.000000,21,yes,0.063700,0
216,0,619,0.015000,151,yes,0.054900,0
217,1,1,1.000000,19,yes,0.050200,0
218,0,11,0.000000,6,yes,0.068000,0
219,0,418,0.012800,546,yes,0.056400,0
220,0,94,0.000000,2,yes,0.717400,0
221,1,725,1.000000,1000,yes,0.176300,0
222,1,569,1.000000,995,yes,0.052500,0
223,1,1000,0.883900,48,yes,0.056700,0
224,0,962,0.000000,2,yes,0.868900,0
225,0,12,0.000000,1,no,0.025800,0
226,1,969,1.000000,221,yes,0.074500,0
227,0,229,0.000000,1,no,0.000000,0
228,0,118,0.000000,1,no,0.000000,0
229,0,765,0.000000,135,yes,0.051600,0
230,1,997,1.000000,263,yes,0.053400,0
231,1,978,0.999500,208,yes,0.050200,0
232,0,490,0.018200,659,yes,0.050500,0
233,1,573,0.839000,533,yes,0.056200,0
234,0,999,0.000000,3,yes,0.168900,0
235,0,13,0.000900,2,yes,0.050500,0
236,0,454,0.000000,1,no,0.007000,0
237,0,794,0.000000,147,yes,0.051100,0
238,0,133,0.004700,1,no,0.006600,0
239,0,922,0.006200,65,yes,0.050900,0
240,1,977,0.970500,108,yes,0.050300,0
241,1,985,1.000000,332,yes,0.059500,0
242,0,999,0.000000,1,no,0.000300,0
243,1,1000,0.787200,46,yes,0.121200,0
244,1,996,0.847800,77,yes,0.060400,0
245,0,804,0.000000,216,yes,0.058100,0
246,1,844,1.000000,751,yes,0.052400,0
247,0,892,0.000000,55,yes,0.055800,0
248,0,82,0.000000,1,no,0.002700,0
249,0,614,0.000000,207,yes,0.052900,0
250,0,878,0.000000,49,yes,0.074700,0
251,1,980,0.999700,333,yes,0.058600,0
252,0,286,0.000000,22,yes,0.052500,0
253,1,1000,1.000000,355,yes,0.051100,0
254,1,136,1.000000,1000,yes,0.998700,0
255,1,1000,0.954700,197,yes,0.051600,0
256,0,994,0.000000,4,yes,0.320900,0
257,0,61,0.000000,7,yes,0.056200,0
258,1,206,1.000000,999,yes,0.068100,0
259,0,12,0.000000,3,yes,0.540000,0
260,0,19,0.000000,1,no,0.034400,0
261,0,995,0.000000,1,no,0.000400,0
262,0,39,0.000000,9,yes,0.071400,0
263,1,4,0.545700,4,yes,0.545700,0
264,1,929,0.708700,119,yes,0.053500,0
265,0,790,0.000100,191,yes,0.051200,0
266,0,58,0.000000,1,no,0.001700,0
267,0,97,0.000000,5,yes,0.161000,0
268,0,425,0.000000,7,yes,0.056700,0
269,0,946,0.009500,52,yes,0.056500,0
270,0,956,0.000000,19,yes,0.051000,0
271,0,793,0.000000,171,yes,0.053700,0
272,0,964,0.049000,65,yes,0.055700,0
273,0,59,0.000000,1,no,0.000200,0
