benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
268,0,3,0.019000,2,yes,0.356800,0
269,0,4,0.000000,1,no,0.000100,0
270,1,1,1.000000,1,no,0.000000,0
271,0,2,0.000000,1,no,0.000000,0
272,1,1,1.000000,1,no,0.000000,0
273,1,1,1.000000,1,no,0.000000,0
274,0,4,0.001700,2,yes,0.096900,0
275,1,1,1.000000,1,no,0.000000,0
276,1,3,0.168300,5,yes,0.157500,0
277,1,1,1.000000,1,no,0.000000,0
278,0,64,0.000000,2,yes,0.343300,0
279,1,1,1.000000,1,no,0.000000,0
280,1,1,1.000000,1,no,0.000000,0
281,1,1,1.000000,1,no,0.000000,0
282,1,1,1.000000,1,no,0.000000,0
283,1,2,0.398700,2,yes,0.398700,0
284,1,1,1.000000,1,no,0.000000,0
285,1,1,1.000000,1,no,0.000000,0
286,0,5,0.000000,2,yes,0.521200,0
287,1,1,1.000000,1,no,0.000000,0
288,1,1,1.000000,1,no,0.000000,0
289,0,2,0.000000,1,no,0.000000,0
290,1,1,1.000000,1,no,0.000000,0
291,1,1,1.000000,1,no,0.000000,0
292,1,1,1.000000,1,no,0.000000,0
293,1,1,1.000000,1,no,0.000000,0
294,1,1,1.000000,1,no,0.000000,0
295,1,1,1.000000,1,no,0.000000,0
296,0,2,0.000000,1,no,0.000000,0
297,1,2,0.268900,2,yes,0.268900,0
298,1,1,1.000000,1,no,0.001900,0
299,1,1,1.000000,1,no,0.002300,0
300,1,1,1.000000,1,no,0.000000,0
301,1,1,1.000000,1,no,0.000000,0
302,0,6,0.000000,2,yes,0.111700,0
303,1,1,1.000000,1,no,0.000000,0
304,1,1,1.000000,1,no,0.000000,0
305,1,1,1.000000,1,no,0.000000,0
306,1,1,1.000000,1,no,0.000000,0
307,1,2,0.434600,2,yes,0.434600,0
308,1,1,1.000000,1,no,0.000000,0
309,1,1,1.000000,1,no,0.000000,0
310,1,1,1.000000,1,no,0.000000,0
311,1,1,1.000000,1,no,0.005800,0
312,0,3,0.000000,1,no,0.024300,0
313,1,1,1.000000,1,no,0.000000,0
314,1,1,1.000000,1,no,0.000200,0
315,0,2,0.000100,1,no,0.000100,0
316,0,5,0.000000,2,yes,0.124600,0
317,1,1,1.000000,1,no,0.000000,0
318,1,1,1.000000,1,no,0.000000,0
319,1,1,1.000000,1,no,0.000000,0
320,1,2,0.852600,3,yes,0.135700,0
321,1,1,1.000000,1,no,0.000000,0
322,1,1,1.000000,1,no,0.034300,0
323,1,1,1.000000,1,no,0.000000,0
324,0,2,0.001000,1,no,0.001000,0
